Wrestler,Age,WWE Title,Universal Title,World Heavyweight Title,IC Title,US Title,Women's IC Title,Women's US Title,Raw/ WWE Women's Title,Women's World/ SD Women's Title,WWE/ SD Tag Title,World/ Raw Tag Title,Women's Tag Title,NXT Title,NXT Women's Title,NXT North American Title,NXT Women's North American Title,NXT Tag Team Title,NXT Heritage Cup,Brand
Cody Rhodes,40,2,0,0,2,0,0,0,0,0,1,4+3,0,0,0,0,0,0,0,SmackDown
Damian Priest,43,0,0,1,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,SmackDown
Dexter Lumis,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,SmackDown
Drew McIntyre,40,2,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,SmackDown
Elton Prince,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,SmackDown
Erick Rowan,43,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,SmackDown
Ilja Dragunov,32,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,SmackDown
Jacob Fatu,33,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,SmackDown
JC Mateo,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SmackDown
Jimmy Uso,40,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,SmackDown
Joe Gacy,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,SmackDown
Johnny Gargano,38,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,1,0,SmackDown
Kevin Owens,41,0,1,0,2,3,0,0,0,0,1,1,0,1,0,0,0,0,0,SmackDown
Kit Wilson,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,SmackDown
The Miz,45,2,0,0,8,2,0,0,0,0,2+2,3+2,0,0,0,0,0,0,0,SmackDown
Montez Ford,35,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,SmackDown
Nathan Frazer,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,SmackDown
R-Truth,53,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,SmackDown
Randy Orton,45,10,0,4,1,1,0,0,0,0,1,2+1,0,0,0,0,0,0,0,SmackDown
Rey Fenix,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SmackDown
Roman Reigns,40,4,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,SmackDown
Sami Zayn,41,0,0,0,4,1,0,0,0,0,1,1,0,1,0,0,0,0,0,SmackDown
Santos Escobar,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SmackDown
Shinsuke Nakamura,45,0,0,0,2,3,0,0,0,0,1,0,0,2,0,0,0,0,0,SmackDown
Solo Sikoa,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,SmackDown
Talla Tonga,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SmackDown
Tama Tonga,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,SmackDown
Tommaso Ciampa,40,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,SmackDown
Tonga Loa,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,SmackDown
Alba Fyre,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,SmackDown
Alexa Bliss,34,0,0,0,0,0,0,0,3,2,0,0,4,0,0,0,0,0,0,SmackDown
B-Fab,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SmackDown
Bianca Belair,36,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,SmackDown
Candice LeRae,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SmackDown
Charlotte Flair,39,0,0,0,0,0,0,0,6,7,0,0,2,0,2,0,0,0,0,SmackDown
Chelsea Green,34,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,SmackDown
Giulia,31,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,SmackDown
Jade Cargill,33,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,SmackDown
Kiana James,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SmackDown
Lash Legend,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SmackDown
Michin,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SmackDown
Nia Jax,41,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,SmackDown
Nikki Cross,36,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,SmackDown
Piper Niven,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,SmackDown
Tiffany Stratton,26,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,SmackDown
Zelina Vega,34,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,SmackDown
Brock Lesnar,48,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unbranded
John Cena,48,14,0,3,1,5,0,0,0,0,0,2+2,0,0,0,0,0,0,0,Unbranded
Omos,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Unbranded
AJ Lee,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unbranded
Tamina,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Unbranded
Andre Chase,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NXT
Bronco Nima,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
"Channing ""Stacks"" Lorenzo",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NXT
Charlie Dempsey,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NXT
Cutler James,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Dion Lennox,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NXT
Ethan Page,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NXT
Hank Walker,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NXT
Jasper Troy,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Je'Von Evans,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Joe Hendry,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Josh Briggs,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Kale Dixon,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Lexis King,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NXT
Luca Crusifino,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Lucien Price,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Malik Blade,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Myles Borne,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Niko Vance,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Noam Dar,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NXT
Oba Femi,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,NXT
Osiris Griffin,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NXT
Ricky Saints,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NXT
Saquon Shugars,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NXT
Shawn Spears,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NXT
Shiloh Hill,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Tank Ledger,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NXT
Tavion Heights,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Tony D'Angelo,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,NXT
Trick Williams,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,NXT
